Carimbo,Idade,Sexo,TempoDocencia,Graduacao,PosGraduacao,Instituicao,ED1,ED2,ED3,ED4,EE1,EE2,EE3,EE4,IS1,IS2,IS3,CF1,CF2,CF3,CF4,MH1,MH2,MH3,PR1,PR2,PR3,HA1,HA2,HA3,HA4,IC1,IC2,IC3,UsoR,UsoTinkerplots,UsoFathom,UsoExcel,UsoSPSS,UsoCODAP,UsoMinitab,UsoPython,UsoSigmaplot,UsoPSPP,UsoOutros1,Outros1,UsoOutros2,Outros2,UsoOutros3,Outros3
07/12/2023 15:10:34,47,Masculino,10,psicologia,Não,Universidade de São Paulo,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,5,5,5,3,5,1,5,4,5,,5,5,5,5,,,,,,,5,,,,,,,,
15/12/2023 14:22:50,47,Masculino,12,Ciência da Computação ,Não,UFSC,5,5,5,5,5,4,4,5,4,4,4,1,5,5,4,4,4,4,2,2,1,4,1,4,4,4,4,5,3,1,1,5,3,1,2,4,1,1,,,,,,
29/11/2023 14:57:08,47,Feminino,15,Bacharelado em Matemática,Não,ICMC - USP - São Carlos,5,4,4,4,4,4,4,3,4,4,4,3,2,5,4,4,4,4,3,4,3,4,1,4,4,5,4,5,2,1,1,5,1,1,2,4,,4,3,Geogebra,,,,
29/11/2023 00:02:19,47,Masculino,17,ESTATISTICA,Sim,UFPR,5,5,5,5,5,4,5,5,3,3,5,1,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,1,1,5,5,1,3,2,1,1,3,STATISTIC,3,BIOESTATISTICA,3,STATIGRAPHIC
21/11/2023 15:59:29,47,Feminino,18,estatística,Sim,UFRJ e University of Warwick,5,4,4,3,5,5,4,4,5,5,5,1,5,5,5,4,5,4,4,3,3,5,1,5,4,5,5,5,4,1,1,4,1,1,1,1,1,1,,,,,,
29/11/2023 21:47:12,47,Masculino,18,Ciências Biológicas,Não,Universidade Estadual de Mato Grosso do Sul,5,5,5,5,5,4,5,5,,,,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,1,1,5,1,1,1,1,1,1,5,Bioestat,,,,
22/11/2023 17:49:34,47,Masculino,20,Estatística,Não,UFRRJ,4,4,4,5,4,4,4,5,4,4,4,1,5,5,5,5,5,5,5,4,1,4,1,5,3,4,5,4,5,1,1,3,2,1,2,3,1,3,4,Interface R Commander do R,1,Julia,2,Stata
24/11/2023 18:27:11,47,Feminino,20,MATEMÁTICA,Sim,ufrj,5,4,,4,3,2,4,5,3,4,4,1,4,4,4,5,5,4,4,5,1,4,1,4,4,5,4,4,5,1,1,5,4,1,3,1,1,1,,,,,,
20/11/2023 23:06:50,47,Masculino,21,Ciências e Matemática (Licenciatura),Sim,Universidade Federal de Lavras - UFLA,4,4,4,5,4,5,5,4,3,4,4,1,4,5,4,4,5,4,1,5,1,4,1,4,5,5,4,5,5,1,1,3,2,1,1,1,1,2,3,Bioestat,,,,
07/12/2023 17:54:04,47,Masculino,21,Ciências Atuariais,Sim,Universidade Federal de Pernambuco,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,3,5,5,4,5,4,5,1,5,5,5,4,5,5,1,1,4,1,1,2,1,1,,1,BrOffice,,,,
05/12/2023 18:29:05,48,Masculino,10,Ciências Biológicas,Não,,5,5,,5,5,5,5,5,5,2,5,1,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,1,1,5,1,1,1,1,1,1,5,JAMOVI,3,Biostat,3,Past
23/11/2023 14:32:41,48,Masculino,14,Matemática,Não,,5,4,3,4,2,3,4,1,3,3,3,1,2,4,4,3,4,3,1,1,1,4,1,4,3,4,3,4,3,1,1,5,3,1,1,1,1,1,,,,,,
30/11/2023 16:30:54,48,Feminino,17,Estatística ,Sim,Ufrn,5,5,5,5,3,5,4,4,5,5,5,2,5,5,4,,5,5,2,2,2,5,1,5,5,5,,5,4,1,1,5,2,2,3,5,1,1,1,Power Bi,,,,
13/12/2023 12:56:35,48,Masculino,19,Matemática,Sim,UFMG,5,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,3,3,5,1,5,5,5,5,5,5,1,1,5,1,1,5,5,1,1,,,,,,
22/11/2023 12:33:11,48,Feminino,20,Bacharelado em Estatística,Sim,IME-USP,5,5,4,5,5,5,5,4,4,4,3,5,4,5,4,5,4,5,5,5,5,5,1,5,5,5,5,5,5,1,1,5,1,1,1,1,1,1,5,JASP,,,,
12/12/2023 12:17:29,49,Masculino,1,Engenharia agronomica,Não,IFAL,5,4,5,5,4,3,3,3,3,3,3,2,2,5,4,4,5,4,2,2,2,4,1,5,4,5,3,5,,,,3,,,,,3,,,,,,,
12/12/2023 20:20:12,49,Feminino,1,contábeis,Não,Universidade Federal de Rondônia,4,3,3,3,5,1,3,5,3,1,3,1,1,1,2,4,5,3,3,3,3,3,1,4,1,4,3,3,1,1,1,5,2,1,1,1,1,1,,,,,,
11/12/2023 09:10:53,49,Masculino,12,Biologia,Sim,USP,5,1,4,3,3,4,3,5,2,4,4,4,5,4,4,5,5,5,2,4,2,3,4,4,5,5,1,5,1,1,1,5,5,1,1,1,1,1,,,,,,
07/12/2023 10:04:54,49,Masculino,14,Engenharia Civil,Não,Universidade de Sao Paulo,5,3,5,5,3,5,5,5,1,1,1,1,5,5,1,5,5,5,1,5,1,5,1,5,5,5,3,5,1,1,1,5,1,1,1,1,1,1,5,BioEstat 5.0,,,,
23/11/2023 18:25:23,49,Masculino,17,Licenciatura em Matemática,Sim,UFPE,5,3,5,4,4,4,3,4,5,4,4,1,5,4,5,3,5,3,1,1,1,4,2,5,5,5,5,4,2,,,5,1,,2,1,,,5,Forecast Pro for Windows (FPW),5,CaterpillasSSA,5,"Gnu Regression, Econometrics and Time-series Library (GRETL)"
21/11/2023 10:53:56,49,Masculino,18,Bacharel em Estatística UFRGS,Sim,UFSM,5,3,5,5,4,5,3,4,5,5,4,2,4,5,3,4,4,3,2,3,2,5,1,3,5,5,4,5,4,1,1,5,4,1,4,1,1,4,4,G*Power,4,Power Equilab,,
22/11/2023 15:18:32,49,Feminino,23,Bacharelado em Estatística,Sim,Universidade Federal de Pernambuco,5,5,5,5,5,,5,5,3,3,3,4,5,5,4,4,4,5,5,5,4,5,1,4,4,5,5,5,5,1,1,3,3,1,3,2,1,1,,,,,,
20/11/2023 09:44:57,50,Masculino,0.5,Licenciatura em Matemática,Não,IFRS,4,1,4,3,3,1,5,3,5,5,5,1,2,4,5,2,5,3,3,5,1,5,1,5,3,5,4,5,1,1,1,3,1,1,1,1,1,1,5,Google planilhas,,,,
07/12/2023 12:25:58,50,Feminino,2.33,Graduação em Matemática,Não,Universidade Federal do Amapá,5,4,4,4,4,4,4,1,1,1,3,4,4,3,5,4,4,4,1,3,4,4,1,5,4,4,4,4,1,1,1,5,3,1,1,1,1,1,3,Plataforma Moodle,3,Google Jamboard,3,Google Classroom 
23/11/2023 16:01:16,50,Feminino,5,Matemática,Não,,3,3,2,3,4,2,4,4,3,3,3,3,4,5,3,3,4,3,3,3,3,3,1,4,1,4,3,3,3,1,1,5,1,1,2,1,1,1,,,,,,
22/11/2023 18:38:56,50,Masculino,19,Licenciatura em Matemática,Sim,UFVJM,4,4,4,4,3,4,4,4,3,3,3,2,3,4,4,4,4,4,4,2,4,3,2,5,4,4,4,4,4,,,,,,,,,,,,,,,
27/11/2023 10:38:36,50,Masculino,20,Pedagogia,Não,,5,5,5,5,4,5,4,5,4,5,5,5,5,5,4,4,5,4,4,4,4,5,2,5,5,5,5,5,2,1,1,5,1,1,1,2,1,1,,,,,,
21/11/2023 07:39:18,50,Feminino,26,Estatística,Sim,Universidade Federal de Minas Gerais,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,3,3,3,4,2,4,4,4,4,4,5,1,1,5,2,1,2,2,1,1,4,Jamovi,,,,
17/12/2023 22:48:29,50,Masculino,31,Ciências com licenciatura plena em Matemática,Não,,4,4,3,3,3,3,3,4,3,3,4,3,4,3,4,3,4,4,3,3,3,3,3,4,3,4,3,4,1,1,1,4,1,1,1,1,1,1,,,,,,
30/11/2023 14:13:58,51,Masculino,10,Ciências contábeis,Não,UEPA,5,5,4,4,4,5,4,5,4,3,4,2,4,5,5,4,5,5,2,4,2,5,3,5,3,5,5,5,,,,5,3,,,3,,,4,Linguagem R,4,Jamovi,,
26/12/2023 15:39:21,51,Masculino,13,Química Industrial,Não,Pós-graduação (Doutorado)- Universidade Católica de Louvain (Bélgica),5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,2,5,4,5,5,5,5,1,1,5,2,1,2,2,1,1,5,Bioestat,,,,
28/11/2023 13:04:49,51,Masculino,20,Bacharelado em Estatística,Sim,IME-USP,3,1,4,3,5,4,5,5,1,1,3,1,5,3,4,5,3,5,5,5,1,1,1,3,3,3,3,2,5,2,2,5,2,2,2,4,2,2,,,,,,
21/11/2023 14:23:38,51,Feminino,26,Estatística,Sim,UNICAMP,5,4,5,4,5,4,4,4,3,3,3,1,2,4,5,5,5,5,2,2,1,4,1,4,4,5,5,5,4,1,1,4,2,1,3,1,1,1,,,,,,
29/11/2023 17:12:30,52,Masculino,18,Agronomia,Não,UFRPE/UFV,5,5,5,5,5,5,5,5,1,1,5,5,5,5,1,5,5,5,3,3,3,5,1,5,5,5,5,5,2,,,5,,,3,,,,5,SAS,,,,
01/12/2023 12:08:45,52,Masculino,18,Engenharias (diversas) e Ciências Atmosféricas ,Não,Universidade Federal de Itajubá (Unifei),5,3,4,5,5,4,4,5,3,3,3,4,4,5,5,5,4,5,3,4,3,5,1,5,4,5,5,5,5,1,1,5,1,1,2,5,1,1,5,Statdisk,,,,
07/12/2023 12:17:09,52,Feminino,23,licenciatura em matemática,Não,Pós doc em estatística UFPE,5,3,3,3,5,5,5,5,3,5,3,3,5,5,3,3,5,5,3,3,3,5,1,5,5,5,5,5,5,1,1,4,1,1,1,5,,1,,,,,,
04/01/2024 12:07:33,52,Feminino,23,Bacharelado em Estatística,Sim,ufrpe,5,5,4,5,2,4,2,2,5,5,5,3,4,5,4,4,5,4,4,4,3,4,1,5,4,5,5,5,2,1,1,4,4,1,3,1,1,1,,,,,,
23/11/2023 10:20:09,52,Feminino,27,Estatística,Sim,UFRGS,5,3,4,3,5,4,5,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,4,,1,2,2,1,1,1,1,1,4,meta-calculator.com/statistics-calculator,4,statskingdom.com confidence-interval-calculators,,
07/12/2023 13:55:49,53,Feminino,17,"Engenharia Florestal, Veterinária, Zootecnia",Sim,UFRB,5,5,1,3,4,5,4,4,3,3,3,4,5,5,5,5,5,5,3,5,3,5,1,3,5,5,5,5,5,,,5,,,,2,,,2,QGIS,,,,
05/12/2023 16:05:33,53,Masculino,20,Matemática,Não,,5,5,5,4,2,4,2,2,4,4,4,1,4,4,2,4,5,2,2,3,2,5,2,5,5,5,5,5,1,,1,5,1,1,4,4,1,1,4,R,,,,
23/11/2023 16:07:12,53,Feminino,25,Estatística,Não,UFRGS,3,2,3,3,3,5,3,3,3,5,4,1,3,5,5,5,5,3,1,3,1,5,2,5,5,5,4,5,4,1,1,5,5,1,1,1,1,1,5,Art of Stat,5,PSS Health,5,WinPepi
18/12/2023 18:22:56,54,Feminino,13,Tecnólogo em Processamento de Dados,Sim,Universidade Federal de Santa Catarina ,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,5,1,1,1,4,2,1,1,1,1,4,4,Iramutec,4,Socrative,,
29/11/2023 11:38:35,54,Feminino,20,Engenharia de produção,Não,Instituição do doutorado? Unicamp,5,3,4,4,4,4,4,4,4,4,4,3,5,5,3,5,5,5,3,3,3,5,1,5,5,5,5,5,2,1,1,5,2,2,1,1,1,2,,,,,,
11/12/2023 08:39:38,54,Masculino,21,Administração,Não,UFPB,3,3,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3,4,1,2,2,2,1,4,3,4,3,4,1,1,1,4,3,1,3,2,1,1,1,statistic,,,,
24/11/2023 06:07:35,54,Masculino,26,Estatística,Sim,Universidade Federal do Rio Grande do Norte,5,4,5,5,4,5,4,5,4,3,4,1,5,5,4,4,5,5,1,1,1,5,1,5,5,5,5,5,5,1,1,4,2,1,3,1,1,1,5,"Office (Word, Excel, Powerpoint)",5,Libreoffice,,
22/11/2023 14:56:39,54,Masculino,28,Engenharia Elétrica e Administração,Não,,5,5,5,5,4,4,4,4,5,5,5,4,4,5,4,4,5,4,1,1,1,5,1,5,5,5,5,5,5,1,1,5,3,1,3,1,1,1,5,GPower,,,,
05/12/2023 21:39:12,55,Masculino,5,Psicologia,Não,Universidade Federal do Pará,4,4,4,3,4,4,4,4,3,2,4,2,4,4,4,4,4,4,2,4,2,4,1,4,4,4,4,4,2,1,1,4,4,1,1,1,1,4,,,,,,
05/12/2023 22:26:10,55,Feminino,10,PEDAGOGIA E BIOMEDICINA,Não,UFPA,5,5,5,5,4,5,4,5,4,4,4,4,5,5,5,5,5,5,3,5,4,5,3,5,5,5,5,5,,,,5,,,,,,,5,BIOSTAT,4,STATISTIC,,
21/11/2023 19:39:35,55,Masculino,15,Engenharia Geológica,Não,,4,3,5,4,4,4,5,3,2,3,3,1,5,4,4,3,4,3,3,4,2,2,1,3,3,3,2,3,4,1,2,5,3,1,1,5,1,4,,,,,,
29/11/2023 10:09:03,55,Feminino,25,Bacharelado em ciências estatisticas,Sim,Ufmt,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,1,1,5,3,5,5,5,5,5,2,1,1,4,3,1,4,1,1,1,,,,,,
25/11/2023 21:53:36,55,Masculino,30,Estatística ,Não,,4,4,5,4,4,4,4,4,4,4,4,3,4,5,4,3,5,4,3,4,3,5,2,4,5,5,5,4,4,1,1,5,4,1,1,2,1,1,,,,,,
18/11/2023 16:31:42,56,Feminino,1,Licenciatura e Bacharelado em Matemática,Não,Colégio Pedro II (educação básica) e PEMAT/UFRJ,4,5,5,4,2,4,2,2,5,5,5,5,2,4,4,4,4,4,3,3,3,4,1,5,2,5,5,5,2,2,1,4,1,1,1,1,1,1,5,GeoGebra,5,Google sheet,,
21/11/2023 10:08:59,56,Masculino,4,bacharel matemáticas,Não,UFERSA,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,1,1,5,5,,1,1,1,1,5,scilab,5,matlab,,
