Genero,Idade,Experiencia,ED1,ED2,ED3,ED4,EE1,EE2,EE3,EE4,IS1,IS2,IS3,CF1,CF2,CF3,CF4,MH1,MH2,MH3,PR1,PR2,PR3,HA1,HA2,HA3,HA4,IC1,IC2,IC3,USO1,USO2,USO3,USO
1,48,228,5,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,3,3,5,1,5,5,5,5,5,5,5,5,5
0,48,240,5,5,4,5,5,5,5,4,4,4,3,5,4,5,4,5,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5
1,49,12,5,4,5,5,4,3,3,3,3,3,3,2,2,5,4,4,5,4,2,2,2,4,1,5,4,5,3,5,1,3,3,3
0,49,12,4,3,3,3,5,1,3,5,3,1,3,1,1,1,2,4,5,3,3,3,3,3,1,4,1,4,3,3,1,2,5,5
1,49,144,5,1,4,3,3,4,3,5,2,4,4,4,5,4,4,5,5,5,2,4,2,3,4,4,5,5,1,5,1,5,5,5
1,49,168,5,3,5,5,3,5,5,5,1,1,1,1,5,5,1,5,5,5,1,5,1,5,1,5,5,5,3,5,1,5,5,5
1,49,204,5,3,5,4,4,4,3,4,5,4,4,1,5,4,5,3,5,3,1,1,1,4,2,5,5,5,5,4,5,5,5,5
1,49,216,5,3,5,5,4,5,3,4,5,5,4,2,4,5,3,4,4,3,2,3,2,5,1,3,5,5,4,5,4,4,5,5
0,49,276,5,5,5,5,5,999,5,5,3,3,3,4,5,5,4,4,4,5,5,5,4,5,1,4,4,5,5,5,5,3,3,5
1,50,6,4,1,4,3,3,1,5,3,5,5,5,1,2,4,5,2,5,3,3,5,1,5,1,5,3,5,4,5,1,1,5,5
0,50,28,5,4,4,4,4,4,4,1,1,1,3,4,4,3,5,4,4,4,1,3,4,4,1,5,4,4,4,4,3,3,5,5
0,50,60,3,3,2,3,4,2,4,4,3,3,3,3,4,5,3,3,4,3,3,3,3,3,1,4,1,4,3,3,3,2,5,5
1,50,228,4,4,4,4,3,4,4,4,3,3,3,2,3,4,4,4,4,4,4,2,4,3,2,5,4,4,4,4,4,1,1,4
1,50,240,5,5,5,5,4,5,4,5,4,5,5,5,5,5,4,4,5,4,4,4,4,5,2,5,5,5,5,5,2,1,5,5
0,50,312,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,3,3,3,4,2,4,4,4,4,4,5,4,5,5
1,50,372,4,4,3,3,3,3,3,4,3,3,4,3,4,3,4,3,4,4,3,3,3,3,3,4,3,4,3,4,1,1,4,4
1,51,120,5,5,4,4,4,5,4,5,4,3,4,2,4,5,5,4,5,5,2,4,2,5,3,5,3,5,5,5,4,4,5,5
1,51,156,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,2,5,4,5,5,5,5,5,5,5
1,51,240,3,1,4,3,5,4,5,5,1,1,3,1,5,3,4,5,3,5,5,5,1,1,1,3,3,3,3,2,5,2,5,5
0,51,312,5,4,5,4,5,4,4,4,3,3,3,1,2,4,5,5,5,5,2,2,1,4,1,4,4,5,5,5,4,3,4,4
1,52,216,5,5,5,5,5,5,5,5,1,1,5,5,5,5,1,5,5,5,3,3,3,5,1,5,5,5,5,5,2,5,5,5
1,52,216,5,3,4,5,5,4,4,5,3,3,3,4,4,5,5,5,4,5,3,4,3,5,1,5,4,5,5,5,5,2,5,5
0,52,276,5,3,3,3,5,5,5,5,3,5,3,3,5,5,3,3,5,5,3,3,3,5,1,5,5,5,5,5,5,1,4,5
0,52,276,5,5,4,5,2,4,2,2,5,5,5,3,4,5,4,4,5,4,4,4,3,4,1,5,4,5,5,5,2,4,4,4
0,52,324,5,3,4,3,5,4,5,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,4,2,4,4
0,53,204,5,5,1,3,4,5,4,4,3,3,3,4,5,5,5,5,5,5,3,5,3,5,1,3,5,5,5,5,5,2,5,5
1,53,240,5,5,5,4,2,4,2,2,4,4,4,1,4,4,2,4,5,2,2,3,2,5,2,5,5,5,5,5,4,4,5,5
0,53,300,3,2,3,3,3,5,3,3,3,5,4,1,3,5,5,5,5,3,1,3,1,5,2,5,5,5,4,5,4,5,5,5
0,54,156,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,5,4,4,4,4
0,54,240,5,3,4,4,4,4,4,4,4,4,4,3,5,5,3,5,5,5,3,3,3,5,1,5,5,5,5,5,2,2,5,5
1,54,252,3,3,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3,4,1,2,2,2,1,4,3,4,3,4,2,3,4,4
1,54,312,5,4,5,5,4,5,4,5,4,3,4,1,5,5,4,4,5,5,1,1,1,5,1,5,5,5,5,5,5,3,5,5
1,54,336,5,5,5,5,4,4,4,4,5,5,5,4,4,5,4,4,5,4,1,1,1,5,1,5,5,5,5,5,5,3,5,5
